# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	22705
#@/user_id	11b0f9ec-6c9a-4124-8c37-c6e1e2ec6fbd
a 	啊	c=136 d=1 t=22529
cha bu duo le 	差不多了	c=1 d=1 t=614
cha bu le 	差不了	c=1 d=1 t=2650
cha ci 	查詞	c=1 d=1 t=8266
cha cuo 	查錯	c=2 d=1 t=17722
cha dao 	查到	c=0 d=0.1 t=2180
cha dao le 	查到了	c=1 d=1 t=2181
cha eng dan 	差嗯但	c=1 d=1 t=22000
cha jian 	插件	c=49 d=1.91044 t=18022
cha jian de 	插件的	c=1 d=1 t=7511
cha jian tai duo 	插件太多	c=1 d=1 t=17802
cha kan 	查看	c=2 d=1 t=12125
cha le 	差了	c=1 d=1 t=15975
cha le 	查了	c=1 d=1 t=3372
cha li 	查理	c=0 d=0.1 t=4073
cha li zhou kan 	查理週刊	c=1 d=1 t=4074
cha ru 	插入	c=1 d=1 t=3569
cha tou 	插頭	c=2 d=1.99005 t=9310
cha yi 	差異	c=8 d=1.68663 t=21704
cha yi dian 	差一點	c=0 d=0.1 t=19252
cha yi dian dian 	差一點點	c=1 d=1 t=19253
cha zhao 	查找	c=1 d=1 t=7334
cha zuo 	插座	c=1 d=1 t=1848
chai 	拆	c=1 d=1 t=6010
chai kai 	拆開	c=1 d=1 t=16899
chan 	禪	c=2 d=1 t=21908
chan chu 	產出	c=0 d=0.1 t=11553
chan pin 	產品	c=18 d=1.62843 t=22661
chan quan 	產權	c=4 d=2.7243 t=10890
chan sheng 	產生	c=11 d=2.33634 t=22664
chan shu 	闡述	c=1 d=1.00016 t=14056
chan shu le 	闡述了	c=1 d=1 t=12765
chan ye 	產業	c=1 d=1 t=11490
chang 	唱	c=1 d=1 t=16171
chang 	長	c=7 d=2.00172 t=18673
chang an 	長安	c=2 d=1.95123 t=13562
chang bing 	長柄	c=1 d=1 t=19668
chang chang 	常常	c=1 d=1 t=2982
chang ge 	唱歌	c=1 d=1 t=17431
chang ge er 	唱歌而	c=2 d=1.82283 t=2857
chang hu 	長鬍	c=1 d=1 t=2969
chang jia 	廠家	c=2 d=1 t=11277
chang jiang 	長江	c=1 d=1 t=13081
chang jiu 	長久	c=1 d=1 t=13283
chang mian 	場面	c=1 d=1 t=15274
chang qi 	長期	c=6 d=2.50803 t=22473
chang ren li shi guo 	常任理事國	c=1 d=1 t=3918
chang sha 	長沙	c=1 d=1 t=13269
chang shi 	嘗試	c=3 d=1.00003 t=14034
chang suo 	場所	c=0 d=0.1 t=22437
chang tu 	長途	c=0 d=0.1 t=20395
chang yong 	常用	c=1 d=1.00003 t=6188
chang yuan 	長遠	c=1 d=1 t=20174
chao 	吵	c=1 d=1 t=5577
chao 	朝	c=3 d=1.00062 t=13483
chao 	超	c=1 d=1 t=17487
chao dai 	朝代	c=6 d=4.57321 t=15503
chao guo 	超過	c=4 d=1.97045 t=20086
chao ji 	超級	c=1 d=1 t=7453
chao ren 	超人	c=4 d=3.92121 t=3119
chao shi 	超市	c=0 d=0.1 t=724
chao shi 	超時	c=2 d=1 t=17962
chao ting 	朝廷	c=2 d=1.86071 t=12626
chao yue 	超越	c=2 d=1 t=22143
che 	扯	c=2 d=1 t=6594
che di 	徹底	c=1 d=1 t=7832
che gong 	車工	c=1 d=1 t=16900
chen 	臣	c=1 d=1 t=13045
chen 	趁	c=1 d=1 t=5928
chen 	陳	c=1 d=1 t=9509
chen an 	臣按	c=1 d=1 t=18573
chen an 	陳安	c=3 d=1.81419 t=19701
chen mu 	嗔目	c=1 d=1 t=18595
chen zi 	臣子	c=1 d=1 t=12706
cheng 	成	c=6 d=2.1303 t=17245
cheng 	稱	c=2 d=1 t=13033
cheng 	誠	c=1 d=1 t=14864
cheng bai shang qian 	成百上千	c=1 d=1 t=16766
cheng bao 	承包	c=0 d=0.1 t=11571
cheng bao le 	承包了	c=1 d=1 t=11572
cheng ben 	成本	c=9 d=1.06375 t=21384
cheng ben kong zhi 	成本控制	c=0 d=0.1 t=9226
cheng dan 	承擔	c=24 d=2.49676 t=22443
cheng dan le 	承擔了	c=1 d=1 t=21622
cheng dan she hui 	承擔社會	c=2 d=1.03321 t=21006
cheng dao 	成道	c=1 d=1 t=15248
cheng du 	程度	c=7 d=1.29921 t=22497
cheng gong 	成功	c=4 d=1 t=18059
cheng guo 	成果	c=7 d=2.50843 t=21157
cheng guo 	撐過	c=1 d=1 t=13363
cheng hu 	稱呼	c=3 d=1.02248 t=19383
cheng ji 	成績	c=1 d=1 t=6251
cheng jiu 	成就	c=1 d=1 t=18914
cheng jiu gan 	成就感	c=1 d=1 t=9331
cheng jiu gan le 	成就感了	c=1 d=1 t=3358
cheng jiu le 	成就了	c=1 d=1 t=11917
cheng le 	成了	c=3 d=1 t=15401
cheng li 	成立	c=2 d=1 t=21589
cheng nuo 	承諾	c=3 d=0.1 t=13832
cheng nuo ji zhi 	承諾機制	c=1 d=1 t=13833
cheng ping 	承平	c=1 d=0.105628 t=12806
cheng ping le 	承平了	c=1 d=1 t=12807
cheng qu 	城區	c=0 d=0.1 t=16387
cheng shu 	乘數	c=2 d=1.99013 t=11528
cheng shu 	成書	c=4 d=1.19895 t=16534
cheng shu 	成熟	c=3 d=1 t=16535
cheng shu lin 	成熟林	c=1 d=1 t=5148
cheng shu xiao ying 	乘數效應	c=2 d=1 t=12676
cheng wei 	成爲	c=3 d=0.1 t=15762
cheng wei 	稱爲	c=17 d=0.100003 t=18824
cheng wei le 	成爲了	c=1 d=1 t=15763
cheng xian chu 	呈現出	c=1 d=1 t=13840
cheng xiao shang 	承銷商	c=1 d=1 t=11251
cheng xu 	程序	c=9 d=1 t=18245
cheng xu yuan 	程序員	c=3 d=1 t=21733
cheng yu 	程昱	c=1 d=1 t=17856
chi bao 	吃飽	c=1 d=1 t=2867
chi bi 	赤壁	c=2 d=1 t=19681
chi bi zhi zhan 	赤壁之戰	c=1 d=1 t=12865
chi dao 	遲到	c=1 d=1 t=2960
chi jiu 	持久	c=2 d=1.0048 t=21731
chi le 	吃了	c=1 d=1 t=1314
chi luo luo 	赤裸裸	c=1 d=1 t=1135
chi rou 	吃肉	c=0 d=0.1 t=9292
chi rou me 	吃肉麼	c=1 d=1 t=9293
chi yu zhi yang 	池魚之殃	c=1 d=1 t=12641
chong 	蟲	c=1 d=1.1 t=16239
chong ai 	寵愛	c=1 d=1 t=12177
chong bai 	崇拜	c=4 d=3.35842 t=18276
chong chi 	充斥	c=1 d=1 t=3071
chong dang 	充當	c=2 d=1.86936 t=12572
chong fen 	充分	c=1 d=1 t=20656
chong fu 	重複	c=2 d=1 t=9363
chong gou 	重構	c=2 d=1.94167 t=1040
chong gou le 	重構了	c=1 d=1 t=1041
chong he 	重合	c=1 d=1 t=9270
chong man le 	充滿了	c=1 d=1 t=12759
chong qing 	重慶	c=1 d=1 t=9818
chong shi 	充實	c=0 d=0.1 t=8544
chong shua 	重刷	c=1 d=1 t=4989
chong tu 	衝突	c=3 d=1.97531 t=17812
chong xin 	重新	c=2 d=1 t=19949
chong zai 	重載	c=1 d=1 t=17502
chong zhi 	重置	c=1 d=1 t=21719
chou 	丑	c=1 d=1 t=14699
chou 	籌	c=1 d=1 t=11600
chou kuan 	籌款	c=1 d=1 t=12401
chou lou 	醜陋	c=1 d=1 t=17653
chou xiang 	抽象	c=1 d=1 t=10511
chu 	出	c=6 d=1 t=12398
chu 	初	c=2 d=1 t=12369
chu 	處	c=1 d=1 t=9493
chu 	鉏	c=1 d=1 t=16256
chu ban 	出版	c=1 d=1 t=7871
chu chai 	出差	c=1 d=1 t=6701
chu chu 	出處	c=2 d=1.97045 t=18744
chu cun 	儲存	c=1 d=1 t=16935
chu cuo 	出錯	c=1 d=1 t=12071
chu cuo le 	出錯了	c=1 d=1 t=1621
chu fa 	出發	c=1 d=1 t=17825
chu fang 	廚房	c=1 d=1 t=9706
chu fei 	除非	c=6 d=1.00157 t=8293
chu gan 	觸感	c=1 d=1 t=6571
chu hu yi liao 	出乎意料	c=1 d=1 t=13066
chu ji 	初級	c=1 d=1 t=7541
chu jing 	處境	c=1 d=1 t=19568
chu lai 	出來	c=5 d=1.00004 t=16487
chu lai zhi hou 	出來之後	c=1 d=1 t=4077
chu le 	出了	c=2 d=1 t=19433
chu le 	除了	c=8 d=1.00299 t=21590
chu li 	處理	c=2 d=1 t=15835
chu lu 	出路	c=1 d=1 t=3932
chu ma 	出馬	c=7 d=1.9122 t=13651
chu mo ban 	觸摸板	c=1 d=1 t=6484
chu nian 	初年	c=4 d=2.23499 t=12357
chu qi 	初期	c=1 d=1 t=12985
chu ren 	楚人	c=1 d=1 t=14787
chu se 	出色	c=0 d=0.1 t=19738
chu sheng 	出生	c=1 d=0.106572 t=16143
chu sheng guo 	出生過	c=1 d=1 t=16144
chu sheng zai 	出生在	c=1 d=1 t=12255
chu shi 	出世	c=1 d=1 t=12477
chu shi 	廚師	c=1 d=1 t=9722
chu shou 	出售	c=1 d=1 t=11335
chu tu 	出土	c=1 d=1 t=11931
chu tu wen wu 	出土文物	c=1 d=1 t=18712
chu wan 	出完	c=1 d=1 t=6015
chu wen ti 	出問題	c=0 d=0.1 t=2152
chu xian 	出現	c=5 d=0.102795 t=19536
chu xian le 	出現了	c=2 d=1.0004 t=15130
chu xian zai 	出現在	c=1 d=1 t=19537
chu xian zai le 	出現在了	c=1 d=1 t=9424
chu yu 	出於	c=1 d=1 t=10980
chu zai 	處在	c=2 d=1 t=18339
chu zhuang wang 	楚莊王	c=2 d=1.7827 t=14783
chu zi 	出自	c=1 d=1 t=18569
chu zi 	廚子	c=1 d=1 t=8482
chuan 	傳	c=2 d=0.1 t=22072
chuan cheng 	傳承	c=0 d=0.1 t=12196
chuan cheng xia qu 	傳承下去	c=1 d=1 t=12197
chuan di 	傳遞	c=0 d=0.1 t=14935
chuan di gei 	傳遞給	c=1 d=1 t=22073
chuan di le 	傳遞了	c=1 d=1 t=14936
chuan qi 	傳奇	c=5 d=1 t=11920
chuan ran xing 	傳染性	c=1 d=1 t=10105
chuan shen 	傳神	c=1 d=1 t=19278
chuan shou 	傳授	c=1 d=1 t=14561
chuan shuo 	傳說	c=1 d=0.67695 t=14658
chuan shuo wei 	傳說爲	c=1 d=1 t=14659
chuan shuo zhong 	傳說中	c=1 d=1 t=19187
chuan wei 	傳位	c=5 d=4.82036 t=450
chuan wen jian 	傳文件	c=1 d=1 t=415
chuang jian 	創建	c=1 d=1 t=2493
chuang kou 	窗口	c=2 d=1 t=22700
chuang shi ren 	創始人	c=1 d=1 t=14265
chuang tou 	牀頭	c=1 d=1 t=5671
chuang zao 	創造	c=1 d=1 t=12599
chuang zao xing 	創造性	c=2 d=1 t=18187
chui 	垂	c=1 d=1 t=15205
chui fan 	垂範	c=1 d=1 t=15365
chui zi 	錘子	c=1 d=1 t=534
chun 	春	c=2 d=1 t=15339
chun 	純	c=5 d=0.1 t=14428
chun 	蠢	c=5 d=4.02111 t=5998
chun ce lve 	純策略	c=2 d=1.74453 t=10318
chun cui shi 	純粹是	c=1 d=1 t=6694
chun jian lian 	純簡練	c=1 d=1 t=14429
chun qiu 	春秋	c=46 d=1.00005 t=19123
chun qiu shi qi 	春秋使其	c=1 d=1 t=14743
ci 	次	c=2 d=1 t=4779
ci 	此	c=2 d=1 t=19043
ci 	詞	c=4 d=1.00008 t=19264
ci chu 	此處	c=2 d=1.99501 t=9513
ci dao 	磁道	c=6 d=1.07772 t=6283
ci dian 	詞典	c=1 d=1 t=8272
ci fa 	詞法	c=1 d=1 t=5481
ci ren 	此人	c=1 d=1 t=12305
ci shan 	慈善	c=6 d=1.00384 t=22489
ci shan shi ye 	慈善事業	c=1 d=1 t=22591
ci shan zu zhi 	慈善組織	c=2 d=1 t=22471
ci shi 	此時	c=5 d=2.30195 t=10814
ci zhi 	此致	c=2 d=1 t=3094
cong 	從	c=48 d=1.76992 t=22518
cong ci yi hou 	從此以後	c=1 d=1 t=5676
cong er 	從而	c=12 d=1.77711 t=22391
cong gu zhi jin 	從古至今	c=1 d=1 t=14279
cong lai 	從來	c=1 d=0.114515 t=19343
cong lai dou shi 	從來都是	c=1 d=1 t=18958
cong lai jiu mei you 	從來就沒有	c=1 d=1 t=19344
cong lai mei 	從來沒	c=1 d=1 t=18715
cong lai mei you 	從來沒有	c=2 d=1 t=13998
cong shi 	從事	c=4 d=1.35234 t=21385
cong shu 	叢書	c=1 d=1 t=12537
cong tou 	從頭	c=2 d=0.1 t=14095
cong tou shu 	從頭數	c=1 d=1 t=14096
cong wei you guo 	從未有過	c=1 d=1 t=45
cu 	粗	c=1 d=1 t=14007
cu shi 	促使	c=1 d=1 t=22283
cun 	存	c=1 d=1 t=10042
cun 	寸	c=5 d=1 t=18672
cun zai 	存在	c=14 d=1.00338 t=22063
cun zai le 	存在了	c=1 d=1 t=13451
cun zai yu 	存在與	c=1 d=1 t=11121
cun zai zhe 	存在着	c=2 d=1 t=21239
cuo 	錯	c=7 d=1.00003 t=15501
cuo bie zi 	錯別字	c=3 d=1.86502 t=18805
cuo le 	錯了	c=1 d=0.379431 t=1620
cuo shi 	措施	c=0 d=0.1 t=10793
cuo wu 	錯誤	c=5 d=1 t=7697
cuo wu le 	錯誤了	c=1 d=1 t=3187
cuo wu zhi chu 	錯誤指出	c=1 d=1 t=3449
da 	大	c=14 d=0.100003 t=18862
da 	打	c=3 d=1.0418 t=5976
da 	答	c=1 d=1 t=1867
da an 	答案	c=11 d=1 t=16826
da ba 	大巴	c=0 d=0.1 t=3347
da bing 	大兵	c=1 d=1 t=8463
da bu 	打不	c=0 d=0.1 t=21724
da bu dao 	達不到	c=1 d=1 t=4911
da bu fen 	大部分	c=3 d=1 t=16002
da bu fen shi 	大部分是	c=1 d=1 t=7258
da bu liao 	大不了	c=1 d=1 t=22677
da bu zhe huo 	打不着火	c=1 d=1 t=21725
da chen 	大臣	c=1 d=1 t=22548
da cheng 	達成	c=0 d=0.1 t=22538
da cheng mu di 	達成目的	c=1 d=1 t=22539
da dao 	大刀	c=1 d=1 t=18579
da dao 	達到	c=2 d=1.14016 t=10898
da di 	大地	c=1 d=1.0042 t=13771
da dou 	大豆	c=1 d=1 t=21329
da du 	打賭	c=3 d=2.93143 t=4933
da duo 	大多	c=1 d=1 t=13752
da duo shu 	大多數	c=1 d=1 t=20196
da duo shu ren 	大多數人	c=1 d=1 t=18536
da er 	達爾	c=0 d=0.1 t=10027
da gai 	大概	c=3 d=1 t=16753
da gui mo 	大規模	c=3 d=1 t=12440
da guo 	大國	c=1 d=1 t=16989
da han chao 	大漢朝	c=1 d=1 t=13306
da hou fang 	大後方	c=1 d=1 t=19550
da huo 	打火	c=1 d=1 t=21721
da ji 	大吉	c=1 d=1 t=3346
da jia 	大家	c=16 d=1.10281 t=19147
da jian 	搭建	c=1 d=1 t=4245
da jiang jia 	大降價	c=1 d=1 t=6438
da jiang jun 	大將軍	c=2 d=1.05901 t=13399
da jiao dao 	打交道	c=1 d=1 t=255
da jun 	大軍	c=1 d=1 t=13190
da kai 	打開	c=3 d=1 t=18034
da kuo hao 	大括號	c=3 d=2.84681 t=7626
da li 	大力	c=1 d=1 t=15891
da li 	打理	c=1 d=1 t=11034
da li guo 	打理過	c=1 d=1 t=8529
da liang 	大量	c=3 d=1.01322 t=12603
da ming 	大明	c=0 d=0.1 t=19716
da ming wang chao 	大明王朝	c=3 d=1.3958 t=20042
da mo 	大漠	c=1 d=1 t=13346
da niu 	大牛	c=3 d=1 t=18903
da pi 	大批	c=1 d=1 t=10716
da po 	大破	c=3 d=2.77667 t=19393
da qian 	大錢	c=2 d=1.97531 t=13208
da qiang 	大槍	c=1 d=1 t=18706
da ru 	大儒	c=1 d=1 t=18796
da sha bi 	打傻逼	c=1 d=1 t=5977
da sheng 	大聖	c=1 d=1 t=16196
da sheng gui lai 	大聖歸來	c=4 d=2.98506 t=4691
da shi 	大師	c=3 d=1 t=19601
da shu fa jia 	大書法家	c=1 d=1 t=18863
da si 	打死	c=1 d=1 t=3418
da tang 	大唐	c=1 d=1 t=17406
da ti 	大體	c=1 d=1 t=613
da ting 	大廳	c=1 d=1 t=18467
da tong xiao yi 	大同小異	c=1 d=1 t=487
da wan 	打完	c=0 d=0.1 t=6353
da wan le 	打完了	c=1 d=1 t=6354
da wen ti 	大問題	c=3 d=1.94649 t=22333
da xiao 	大小	c=1 d=1 t=33
da xie 	大寫	c=2 d=1.97531 t=5555
da xue 	大學	c=3 d=1 t=16446
da yang 	大洋	c=0 d=0.1 t=4182
da yang ge 	大洋個	c=1 d=1 t=4183
da yang ge 	大秧歌	c=1 d=1 t=6756
da yang ge 	打秧歌	c=5 d=1 t=16208
da yi 	大義	c=3 d=1 t=16816
da yin 	打印	c=1 d=1 t=4565
da yin chu lai 	打印出來	c=1 d=1 t=1615
da yu 	大於	c=2 d=0.1 t=21958
da yue 	大約	c=3 d=1.97531 t=7131
da zhan 	大戰	c=4 d=1 t=16202
da zhang fu 	大丈夫	c=0 d=0.1 t=15178
da zhang fu xiang 	大丈夫相	c=1 d=1 t=15179
da zhe 	打折	c=6 d=1 t=11375
da zhi 	大致	c=1 d=1 t=19900
da zhuan 	大專	c=1 d=1 t=19992
da zi 	打字	c=1 d=1 t=11823
da zu 	大族	c=1 d=1 t=13024
da zui 	大嘴	c=1 d=1 t=6011
dai 	代	c=3 d=1.002 t=16307
dai 	帶	c=2 d=1 t=4942
dai 	待	c=1 d=1 t=6623
dai 	戴	c=1 d=1 t=16303
dai biao 	代表	c=0 d=0.1 t=11538
dai biao le 	代表了	c=1 d=1 t=11539
dai bu 	逮捕	c=1 d=1 t=7021
dai dao 	帶到	c=1 d=1 t=6454
dai ding 	待定	c=1 d=1 t=9365
dai han 	代漢	c=1 d=1 t=19589
dai jia 	代價	c=5 d=1.28365 t=20949
dai jia tai da le 	代價太大了	c=1 d=1 t=6403
dai lai 	帶來	c=1 d=1 t=9600
dai li 	代理	c=5 d=1.00021 t=13546
dai li ren 	代理人	c=4 d=3.28724 t=11161
dai ma 	代碼	c=22 d=2.71753 t=18144
dai ma liang 	代碼量	c=1 d=1 t=7692
dai ti 	代替	c=1 d=1 t=5479
dai you 	帶有	c=1 d=1 t=9334
dai zhi 	代之	c=1 d=1 t=13783
dai zi 	袋子	c=1 d=1 t=2973
dan 	但	c=2 d=1.11707 t=15560
dan 	蛋	c=1 d=1 t=8420
dan bao 	擔保	c=2 d=1.00019 t=11665
dan bu 	單步	c=2 d=1.65377 t=4833
dan ci 	單詞	c=7 d=1 t=17473
dan dian 	單點	c=0 d=0.1 t=17146
dan dian tiao shi 	單點調試	c=1 d=1 t=17147
dan diao 	單調	c=1 d=0.1 t=17999
dan du 	單獨	c=2 d=0.1 t=16926
dan du tian jia 	單獨添加	c=1 d=1 t=16927
dan fan 	單反	c=1 d=1 t=3703
dan fang mian 	單方面	c=1 d=1 t=10219
dan gao 	蛋糕	c=1 d=1 t=2957
dan hua 	淡化	c=0 d=0.1 t=16520
dan ji 	單機	c=1 d=1 t=5340
dan qing 	丹青	c=3 d=2.90752 t=18873
dan ren 	擔任	c=1 d=1 t=13270
dan shi 	但是	c=86 d=1.57406 t=21625
dan shi you 	但是又	c=1 d=1 t=3655
dan tiao 	單挑	c=2 d=1.9802 t=17062
dan wei 	單位	c=1 d=1 t=11541
dan xiao gui 	膽小鬼	c=1 d=1 t=17866
dan xin 	擔心	c=1 d=1 t=7437
dan zi 	單子	c=1 d=1 t=6199
dang 	當	c=28 d=1.81109 t=20676
dang 	黨	c=1 d=1 t=17454
dang bu liao 	當不了	c=1 d=1 t=12286
dang bu qi 	當不起	c=1 d=1 t=19380
dang bu zhu 	擋不住	c=0 d=0.1 t=8389
dang chu 	當初	c=3 d=1.00207 t=2445
dang ci 	檔次	c=1 d=1 t=19258
dang guan 	當官	c=1 d=1 t=15442
dang jin 	當今	c=2 d=1.01291 t=12745
dang nian 	當年	c=1 d=1 t=1716
dang qian 	當前	c=6 d=1.10574 t=17823
dang quan 	當權	c=1 d=1 t=22570
dang ran 	當然	c=5 d=1 t=22183
dang ran ke yi 	當然可以	c=1 d=1 t=12115
dang ran shi 	當然是	c=1 d=1 t=1529
dang ren 	當人	c=0 d=0.1 t=14891
dang ren le 	當人了	c=1 d=1 t=14892
dang shi 	當時	c=6 d=1.58275 t=19559
dang shi ren 	當事人	c=1 d=1 t=14399
dang zuo 	當作	c=9 d=2.437 t=20700
dao 	倒	c=11 d=1.00137 t=6141
dao 	刀	c=3 d=1.00091 t=19663
dao 	到	c=47 d=2.93833 t=22525
dao 	道	c=3 d=1.21871 t=19542
dao ban 	盜版	c=1 d=1 t=2620
dao chu 	到處	c=1 d=1 t=6131
dao chu 	導出	c=12 d=3.40526 t=4362
dao da 	到達	c=1 d=1 t=9000
dao de 	道德	c=13 d=0.347874 t=22683
dao de feng xian 	道德風險	c=2 d=1.04138 t=10652
dao de guan nian 	道德觀念	c=1 d=1 t=22058
dao di 	到底	c=5 d=1.68391 t=17628
dao di suan shi 	到底算是	c=1 d=1 t=4514
dao hao 	盜號	c=1 d=1 t=3036
dao jiao 	道教	c=1 d=1 t=9532
dao le 	到了	c=1 d=1 t=14137
dao li 	道理	c=3 d=2.9605 t=14879
dao mu qian wei zhi 	到目前爲止	c=1 d=1 t=122
dao qi 	到期	c=0 d=0.179453 t=11718
dao qi zuo fei 	到期作廢	c=1 d=1 t=11719
dao ru 	導入	c=3 d=1.02647 t=4483
dao shi 	倒是	c=2 d=1 t=19676
dao shi 	導師	c=1 d=1 t=8689
dao shi 	道士	c=1 d=1 t=8429
dao shi hou 	到時候	c=3 d=1.94649 t=16612
dao shu 	倒數	c=3 d=1.0442 t=2114
dao shu di er 	倒數第二	c=1 d=1 t=57
dao ta 	倒塌	c=1 d=1 t=13459
dao wei 	到位	c=2 d=1 t=7796
dao ye 	倒也	c=0 d=0.1 t=2524
dao ye bu 	倒也不	c=0 d=0.1 t=15972
dao ye bu cuo 	倒也不錯	c=1 d=1 t=2525
dao ye bu jian de 	倒也不間的	c=1 d=1 t=15973
dao zhi 	導致	c=9 d=1.10593 t=22353
de 	得	c=2 d=1.23693 t=2457
de 	德	c=3 d=1.9802 t=15075
de 	的	c=1796 d=18.9425 t=22685
de bu 	得不	c=0 d=0.1 t=724
de bu chao shi 	得不超市	c=1 d=1 t=725
de chu 	得出	c=1 d=1 t=20751
de chu lai 	的出來	c=1 d=1 t=1409
de chu le 	的除了	c=1 d=1 t=20750
de dao 	得到	c=8 d=1.00023 t=22495
de dao le 	得到了	c=5 d=1.15961 t=22032
de dong xi 	的東西	c=1 d=1 t=18336
de guo 	德國	c=3 d=2.59317 t=4017
de li 	得力	c=1 d=1 t=14562
de shang pin 	的商品	c=1 d=1 t=21452
de shu ju 	的數據	c=1 d=1 t=12113
de yi yu 	得益於	c=3 d=2.04945 t=13125
de ying xiang 	的影響	c=1 d=1 t=22666
de zhi hui 	的智慧	c=1 d=1 t=12910
den gai 	㩐該	c=1 d=1 t=6035
deng 	等	c=8 d=1 t=20933
deng ai 	鄧艾	c=2 d=1 t=12945
deng bi shu lie 	等比數列	c=1 d=1 t=986
deng deng 	等等	c=4 d=1 t=16864
deng ji 	登基	c=1 d=1 t=13012
deng lu 	登錄	c=9 d=1.08695 t=17954
deng lu bu 	登錄不	c=1 d=1 t=15540
deng lu guo 	登錄過	c=1 d=1 t=17927
deng tong 	鄧通	c=1 d=1 t=12175
deng wo 	等我	c=1 d=1 t=5590
deng yu 	等於	c=2 d=1 t=8622
deng zhe 	等着	c=1 d=0.376651 t=3967
deng zhe ba 	等着吧	c=1 d=1 t=3968
di 	低	c=5 d=1 t=20213
di 	地	c=3 d=1 t=12652
di 	滴	c=1 d=1 t=17141
di 	第	c=3 d=1 t=20517
di 	遞	c=1 d=1 t=6950
di ba zhang 	第八章	c=1 d=1 t=11772
di bu 	地步	c=1 d=1 t=4774
di ceng 	底層	c=3 d=1 t=18201
di chu 	牴觸	c=1 d=1 t=14903
di diao 	低調	c=1 d=1 t=6994
di duan 	低端	c=3 d=1.93707 t=18322
di duan chan pin 	低端產品	c=1 d=1 t=2004
di duan shi chang 	低端市場	c=1 d=1 t=1960
di dui 	敵對	c=1 d=1.09802 t=4120
di dui mian 	敵對麪	c=1 d=1 t=4117
di er 	第二	c=1 d=1.00055 t=1952
di er da 	第二大	c=0 d=0.1 t=9377
di er ge 	第二個	c=2 d=1.05393 t=5388
di er ji 	第二季	c=2 d=1.90032 t=1177
di er ming 	第二名	c=1 d=1 t=8778
di er wei 	第二位	c=1 d=1 t=18959
di er zhang 	第二章	c=1 d=1 t=11744
di er zu 	第二組	c=1 d=1 t=913
di fang 	地方	c=11 d=1 t=17556
di fang zheng quan 	地方證券	c=1 d=1 t=14039
di feng xian 	低風險	c=3 d=2.96531 t=464
di gei 	遞給	c=0 d=0.1 t=22072
di gui 	遞歸	c=1 d=0.1133 t=1209
di gui suan fa 	遞歸算法	c=1 d=1 t=1210
di guo 	帝國	c=1 d=1 t=13994
di hou 	帝后	c=1 d=1 t=18963
di ji 	低級	c=2 d=1.96079 t=13680
di jia 	低價	c=1 d=1 t=9392
di jia 	地價	c=1 d=1 t=9393
di jiu zhang 	第九章	c=1 d=1 t=11776
di liu 	第六	c=0 d=0.1 t=1817
di liu ji 	第六及	c=2 d=1.97531 t=1823
di liu zhang 	第六章	c=1 d=1 t=11762
di ming 	地名	c=1 d=1 t=16142
di qi zhang 	第七章	c=1 d=1 t=11768
di qiu 	地球	c=1 d=1 t=5140
di que 	的確	c=1 d=1 t=22004
di ren jie 	狄仁傑	c=1 d=1 t=17685
di san fang 	第三方	c=2 d=1.00487 t=6079
di san ge 	第三個	c=1 d=1 t=1341
di san ji 	第三季	c=8 d=3.98949 t=1167
di san wei 	第三位	c=1 d=1 t=18961
di san zhang 	第三章	c=1 d=1 t=11749
di shi 	第十	c=1 d=1 t=11782
di shi er 	第十二	c=0 d=0.1 t=11794
di shi er zhang 	第十二章	c=1 d=1 t=11795
di shi san 	第十三	c=0 d=0.1 t=11801
di shi san zhang 	第十三章	c=1 d=1 t=11802
di si 	第四	c=1 d=1.02491 t=1168
di si ji 	第四季	c=4 d=1.06411 t=1164
di si wei 	第四位	c=3 d=2.92196 t=903
di si zhang 	第四章	c=1 d=1 t=11751
di tie 	地鐵	c=1 d=1 t=6765
di tu 	地圖	c=3 d=2.93654 t=422
di wang 	帝王	c=1 d=0.100004 t=15196
di wei 	地位	c=4 d=1.00091 t=14396
di wei 	帝位	c=1 d=1 t=12997
di wu 	第五	c=0 d=0.199501 t=1171
di wu ji 	第五及	c=2 d=1.99501 t=1172
di wu zhang 	第五章	c=3 d=1.70469 t=16427
di xia 	地下	c=0 d=0.1 t=15230
di xiao 	抵消	c=1 d=0.1 t=11585
di xiao le 	抵消了	c=1 d=1 t=11586
di xiao lv 	低效率	c=1 d=1 t=5739
di yi 	第一	c=5 d=1 t=18967
di yi ge 	第一個	c=4 d=1 t=17669
di yi ge yue 	第一個月	c=1 d=1 t=17065
di yi guan 	第一關	c=2 d=1.97045 t=1228
di yi hang 	第一行	c=1 d=1 t=2257
di yi hui 	第一回	c=1 d=1 t=18635
di yi ji 	第一季	c=1 d=1 t=1154
di yi ju hua 	第一句話	c=1 d=1 t=15336
di yi ming 	第一名	c=1 d=1 t=8763
di yi wei 	第一位	c=3 d=1 t=17663
di yi zhang 	第一章	c=1 d=1 t=11743
di yi zu 	第一組	c=1 d=1 t=907
di yu 	低於	c=1 d=1 t=19997
di yu 	地獄	c=2 d=1.90484 t=17408
di zao 	締造	c=1 d=1 t=12488
di zhang zi 	嫡長子	c=1 d=1 t=13121
di zhi 	地址	c=8 d=1 t=21912
